#支付宝账务汇总查询
#账号：[20888025619563210156]
#起始日期：[2022年01月03日 00:00:00]   终止日期：[2022年01月04日 00:00:00]
#-----------------------------------------账务汇总列表----------------------------------------
类型,收入笔数,收入金额（+元）,支出笔数,支出金额（-元）,总金额（元）
其它	,4	,2500.90	,1	,-177.32	,2323.58	
在线支付	,2	,200.00	,0	,0.00	,200.00	
提现	,0	,0.00	,2	,-2023.58	,-2023.58	
转账	,0	,0.00	,4	,-2566.00	,-2566.00	
退款	,1	,2066.00	,0	,0.00	,2066.00	
合计	,7	,4766.90	,7	,-4766.90	,0.00	
#----------------------------------------账务汇总列表结束-------------------------------------
#导出时间：[2022年01月04日 23:50:07]
